"county_name","confirmed_cases","deaths","median_age","median_income","total_pop","date_of_first_case","rate_of_growth_first_30_days","rate_of_growth_30_60_days","rate_of_growth_60_90_days","rate_of_growth_90_120_days","rate_of_growth_120_150_days","rate_of_growth_150_180_days","infection_rate","death_rate"
"dewitt county",1553,50,41.2,50960,20474,2020-03-19,9.92747673782157,1.93894993894994,2.15270722930569,6.61311260820432,5.25218442891587,0.774796686496161,0.0758523004786559,0.0321957501609788
"donley county",289,8,41.9,44429,3433,2020-04-02,20.5883372000314,0.272222222222222,0.128205128205128,1.61367180259079,0.831807595495925,0.515099962051601,0.0841829303815904,0.027681660899654
"duval county",1058,32,36.8,35443,11434,2020-04-14,7.47126436781609,0,11.1078313716648,2.92989198224354,2.67311777901412,0.472924118701759,0.0925310477523176,0.0302457466918715
"eastland county",972,23,43,32135,18278,2020-03-24,1.72413793103448,1.94444444444444,1.22222222222222,5.74490261757658,3.7276893582345,1.55760115197039,0.0531786847576321,0.0236625514403292
"ector county",12222,269,30.3,59528,155744,2020-03-29,20.4598990199718,2.65198125885442,3.97519394252678,4.93688880097027,1.2109247421811,0.453364980925251,0.0784749332237518,0.022009491081656
"el paso county",107552,1940,31.9,43244,834825,2020-03-14,26.6124901090931,5.5877521889937,3.39639530803779,3.10317839972792,1.98760744394277,0.871723916675676,0.128831791093942,0.0180377863731032
"ellis county",16403,201,36,67371,164092,2020-03-20,15.2098269039875,3.76168068478298,2.19415667208196,5.04108159200933,1.73167913917447,0.794600482413743,0.0999622163176754,0.0122538560019509
"erath county",3470,42,30,47013,41016,2020-03-24,11.7665571975917,0.772283272283272,3.96403710092336,7.15549602355861,2.38325165379183,0.974357344191043,0.0846011312658475,0.0121037463976945
"falls county",1308,22,39.2,38834,17289,2020-03-23,0,7.77777777777778,4.67926775666714,3.96848527256921,2.73114843258207,1.27318382654125,0.0756550407773729,0.0168195718654434
"fannin county",2439,66,41.9,47875,33787,2020-03-20,9.13793103448276,4.55048922314032,2.98505667829866,3.6031172367856,2.30205605957795,2.65402892154707,0.0721875277473585,0.027060270602706
"fayette county",1447,43,47.2,56941,24963,2020-03-24,12.832301797819,2.89601376048701,2.1818353805392,4.62777719619078,1.43105397749073,1.02367191003011,0.057965789368265,0.0297166551485833
"fisher county",266,10,44,45294,3875,2020-05-15,3.44827586206896,8.77272727272727,2.93227907358342,2.65741538670883,0.64642962645331,1.93690568859841,0.0686451612903226,0.037593984962406
"floyd county",631,25,37.1,48767,5953,2020-04-08,6.32183908045977,5.32720057720058,2.88409714437129,3.09682535962346,0.473004267675751,0.415897744601624,0.105996976314463,0.0396196513470681
"fort bend county",44067,439,35.8,93645,711421,2020-03-05,26.7691104262523,5.79641649285595,1.71299809955642,2.45028199977762,2.04739652848551,2.54771622935014,0.0619422254895484,0.0099621031610956
"franklin county",565,16,42.9,43967,10639,2020-03-29,0,10.3810726310726,3.83370950267505,2.39015864441839,0.872268789779236,0.956804090465511,0.0531064949713319,0.0283185840707965
"freestone county",988,30,40.6,45890,19646,2020-04-15,10.4597701149425,2.8982683982684,5.95006800359753,2.78199043489491,3.54698959317878,0.319657095427897,0.0502901353965184,0.0303643724696356
"frio county",2148,24,31.3,37382,19110,2020-04-08,17.1592775041051,1.75614017378723,6.34168031685955,2.64231524485167,0.889544236332659,1.67649595715462,0.112401883830455,0.0111731843575419
"gaines county",1302,36,28.1,58167,19889,2020-03-25,3.44827586206896,4.27777777777778,3.30026455026455,5.91618949313552,4.15677437201783,1.11493853254716,0.0654633214339585,0.0276497695852535
"galveston county",26898,251,37.6,65702,321184,2020-03-14,26.6290573854267,2.23108329578973,1.54728432070143,5.6878500251622,1.72347669791418,0.53707332997221,0.0837463883630567,0.00933154881403822
"garza county",278,18,40.1,53832,6739,2020-04-30,8.9080459770115,3.43001443001443,8.19861922858692,0.274006124098439,0.0970934801602991,0.531267191675018,0.0412524113369936,0.0647482014388489
"gillespie county",1830,32,50.2,56267,25939,2020-04-02,3.44827586206896,3.61111111111111,8.32693386669707,5.1244846110717,0.492633032976112,1.77897582899498,0.0705501368595551,0.0174863387978142
"goliad county",299,9,46.4,56737,7510,2020-04-02,10.1724137931034,0,2.6984126984127,6.5036827644326,1.62382193673502,0.844875734912649,0.0398135818908123,0.0301003344481605
"gonzales county",1962,29,36.9,47516,20558,2020-04-01,13.4373289545703,6.45929774890804,2.47162672909608,3.08739321352023,0.970425687148495,1.01259751352223,0.0954372993481856,0.0147808358817533
"gray county",1773,40,36.7,48314,22962,2020-04-01,22.692734617377,2.60664066233221,0.509515351651596,1.14683311512329,1.39356501839704,0.847635359696656,0.0772145283511889,0.0225606316976875
"grayson county",8983,225,40.2,52683,126146,2020-03-24,12.9589595664646,9.59561809639686,2.12024707593058,1.74707699396673,1.49618430181765,0.978080696642028,0.0712111363023798,0.0250473115885562
"gregg county",8451,221,35.4,47970,123402,2020-03-09,14.9753694581281,6.23821246628789,2.98745454801813,1.644581929582,4.19940238413988,1.26363063782612,0.0684834929741819,0.026150751390368
"grimes county",1889,52,40.4,49745,27358,2020-03-24,6.65571975916803,8.38853621444298,4.59546323088689,3.28286819300345,0.852015064627077,0.382851512054062,0.0690474449886688,0.0275277924827951
"guadalupe county",9123,128,36.7,66187,150889,2020-03-22,14.4056879200823,2.31942695426501,3.3420135124931,5.41886175537656,1.12850680791097,0.250848508582848,0.0604616638721179,0.0140304724323139
"hale county",5668,135,33,46012,34527,2020-03-27,21.6195825247549,3.76768237478433,4.18380501094014,6.32797970503841,1.30932164015501,0.541110998912496,0.164161380948243,0.023817925194072
"hamilton county",546,21,46.4,46611,8220,2020-04-07,7.47126436781609,2.11507936507936,3.26851218956482,3.2147211460179,2.38765470323314,1.29921635047918,0.0664233576642336,0.0384615384615385
"hansford county",673,17,34.9,40678,5532,2020-04-06,10.9934318555008,2.08088636223311,1.51563707360809,2.18272548329876,1.95231644574695,1.1943030268201,0.121655820679682,0.025260029717682
"hardin county",4080,69,39.3,56131,55993,2020-03-25,16.399074589314,1.37389846546142,0.799129528863925,4.54677935979515,2.13561966462906,0.411250723871652,0.0728662511385352,0.0169117647058824
"harris county",286356,3825,33.1,57791,4525519,2020-03-05,29.4417245228526,6.95712326901753,2.14375891829855,3.2472020749841,2.69800686988974,1.24812638170065,0.0632758364289267,0.0133574990571177
"harrison county",3575,71,37.7,48644,66606,2020-03-26,19.6677309523328,4.15994440410532,0.68687647173865,2.28258906644041,1.21216381683758,0.383641674230341,0.0536738431973095,0.0198601398601399
"haskell county",355,17,43.4,43529,5806,2020-05-15,6.32183908045977,1.5,8.1565554500539,1.09010516810955,0.725082932599396,0.706625387853797,0.0611436445056838,0.047887323943662
"hays county",14460,130,31.3,62815,194843,2020-03-14,20.1233498904672,3.24432014823273,3.05046994262908,7.02787157567159,1.23112719219149,0.326385028473297,0.0742135976144896,0.00899031811894882
"hemphill county",451,2,35.1,68679,4152,2020-04-04,0,0,9.75396825396825,5.1066209801459,1.01409008736036,1.01314466146084,0.108622350674374,0.00443458980044346
"henderson county",4434,106,43.8,44888,79687,2020-04-01,17.4777899051946,2.87359436294985,2.45692240356445,5.28255639421486,1.39073654124131,0.647417376280022,0.0556427020718561,0.0239061795218764
"hidalgo county",56455,2018,28.9,37097,839539,2020-03-23,22.4205643227562,1.87327509799813,4.14251058996011,7.25526153008527,2.10364731402384,0.960385416401527,0.0672452381604666,0.0357452838543973
"hill county",2398,47,42.5,45970,35098,2020-03-30,11.6038463452257,1.61786921157294,3.05259288588485,5.44135562725828,1.07197240254294,2.0501497852996,0.0683229813664596,0.0195996663886572
"hockley county",2049,91,33.4,49184,23273,2020-03-20,11.816976127321,1.472106253453,0.804098612069626,5.13466400998101,2.08264901034242,1.05414530632376,0.0880419370085507,0.0444119082479258
"hood county",5050,85,46.8,60275,55418,2020-03-27,8.84206789379203,1.25071945311883,2.4060061868136,6.75885319075394,3.00739499213757,0.894883682153672,0.0911256270525822,0.0168316831683168
"hopkins county",2518,86,39.6,47832,35929,2020-03-24,6.32183908045977,5.08477633477633,4.29246055333639,3.47356405416846,1.73620473899869,1.18546598492996,0.0700826630298645,0.034154090548054
"houston county",1360,30,44.6,33552,22849,2020-04-19,19.9217927666204,5.75319709961748,1.05681159723831,1.66221644049797,0.299665372435813,0.334060175708338,0.0595212044290779,0.0220588235294118
"howard county",4196,79,36.7,50855,36491,2020-04-10,8.44827586206896,1.4484126984127,7.21299982077468,3.54916541380763,2.47207525922587,3.56357519135836,0.114987257131896,0.0188274547187798
"hunt county",4557,103,37.9,49319,90322,2020-03-24,51.6272917695332,2.24045622978593,4.49905135357997,4.19256939083232,1.46376835361999,0.578948761269332,0.050452824339585,0.0226025894228659
"hutchinson county",1253,57,36.9,50035,21704,2020-04-04,8.7835631801149,3.41044945558931,1.64353871448228,1.76327785874534,0.855747763525144,1.4262204270895,0.0577312937707335,0.0454908220271349
"irion county",84,1,45.5,63021,1592,2020-06-02,3.44827586206896,5.30952380952381,0.787037037037037,0,0.944444444444445,3.15817651847064,0.0527638190954774,0.0119047619047619
"jack county",530,12,40.6,52829,8839,2020-04-09,6.32183908045977,0,4.21837421837422,5.34429353868521,3.42628037970831,0.330309439248136,0.0599615341101935,0.0226415094339623
"jackson county",1284,23,39.2,58504,14756,2020-03-26,8.04597701149425,3.94642857142857,1.60511491146166,6.85538877921703,3.62909306059133,0.821012390550972,0.0870154513418271,0.0179127725856698
"jasper county",1965,48,40.4,41960,35444,2020-04-03,9.49507389162562,1.69243171722195,2.03183957611022,7.39915770659112,1.08924032470951,0.676740085566867,0.055439566640334,0.0244274809160305
"jefferson county",15937,263,36,46315,254574,2020-03-25,18.0684194406909,2.58671510803937,4.33566359864812,4.17382954440663,1.12371999443775,0.356203838730045,0.0626026224202,0.0165024785091297
"jim wells county",3417,70,34.5,41103,41318,2020-04-02,5.17241379310345,4.05952380952381,10.1526375082813,4.81876118460385,1.82026752716496,1.43144498172336,0.0827000338835374,0.0204858062628036
"johnson county",14435,213,36.9,60458,160173,2020-03-19,12.3075978877523,4.15605118237744,2.17506469138588,4.94846572058595,2.92299769705395,0.710383109762728,0.0901213063375225,0.0147558018704538
"jones county",2569,35,38.6,48601,19969,2020-04-08,21.7148045012339,10.0389200626563,0,0,0,0.0296983562108117,0.128649406580199,0.0136239782016349
"karnes county",1387,26,35.3,53051,15051,2020-03-26,5.17241379310345,1.11111111111111,5.31385281385281,9.83433636161123,5.02973170297178,0.945700250960676,0.0921533452926716,0.0187454938716655
"kaufman county",11450,154,35.7,63926,114852,2020-03-24,13.1881859570154,4.39296450679072,2.34162133308932,4.4761475245875,2.44418612432282,0.474172595847606,0.0996935186152614,0.0134497816593886
"kendall county",1890,44,42.4,81023,40306,2020-03-25,7.95852614818132,1.61631228896339,2.15034940083605,3.81188401886124,1.33003307064052,0.187643634690048,0.046891281695033,0.0232804232804233
"kerr county",3020,61,47.8,48698,50761,2020-04-01,7.18390804597701,4.63275749305161,5.38145208128378,5.49183270576242,0.866956464168421,1.17052959418456,0.0594944938042986,0.0201986754966887
"kimble county",227,6,52.6,41095,4432,2020-05-08,0,11.5,2.98821548821549,0.716727716727717,0.208333333333333,2.31182409550531,0.0512184115523466,0.026431718061674
"kleberg county",1981,63,27.9,41700,31540,2020-03-29,9.22824302134647,2.48945498945499,2.72319326200437,7.68988367898073,2.13258196045396,2.05337719805291,0.0628091312618897,0.0318021201413428
"lamar county",4956,112,40.4,42198,49401,2020-03-24,10.4597701149425,21.5628546599384,1.66063380822788,2.94024089344814,1.56677056133247,1.07766137989071,0.100321855832878,0.0225988700564972
"lamb county",1799,73,35.6,43712,13368,2020-03-28,3.44827586206896,7.70618270618271,2.79096391553779,5.94156586530338,1.38037508285439,0.742283611889109,0.134575104727708,0.0405780989438577
"lampasas county",913,17,41.8,54467,20473,2020-04-03,6.32183908045977,3.02777777777778,2.84687962822638,5.22317052990347,2.12419942740988,1.72216417522273,0.0445953206662433,0.0186199342825849
"lavaca county",1862,62,43.9,51708,19859,2020-03-14,6.32183908045977,1.5,4.46402637037312,9.70955968931312,3.57742075404212,0.325199011077365,0.0937610151568558,0.033297529538131
"lee county",1182,34,41.3,55741,16850,2020-04-02,3.44827586206896,10.5713083213083,3.14516344446275,3.19317650523545,0.949466325368541,0.403913099634711,0.0701483679525223,0.0287648054145516
"leon county",875,28,44.7,44875,16966,2020-03-30,7.18390804597701,2.54497354497355,2.43130772736036,7.23421907828239,1.01874959487416,1.10568544372872,0.0515737357067075,0.032
"liberty county",5116,111,35.8,48344,79884,2020-03-25,15.3632500906248,2.79611742301733,2.90381425737935,4.45887651271549,2.10546689973563,1.95330715652285,0.0640428621501177,0.0216966379984363
"limestone county",1420,34,39.5,40356,23480,2020-03-24,10.9469074986316,1.90102163631575,2.66745364273632,3.77258903770804,3.5513093032374,1.69508892022839,0.0604770017035775,0.023943661971831
"lipscomb county",248,10,35,59583,3495,2020-04-28,3.44827586206896,5.8968253968254,1.83742183742184,1.48617123617124,1.14347386746187,2.6535838090572,0.0709585121602289,0.0403225806451613
"live oak county",967,16,42.3,51480,12043,2020-04-01,7.47126436781609,2.17460317460318,3.55555555555555,6.61877000118851,3.77662724990619,0.424482489973314,0.0802956074067923,0.0165460186142709
"llano county",805,30,57.1,50524,20195,2020-03-25,5.17241379310345,0,3.27777777777778,9.38609539190649,1.09820947453494,0.731512852407176,0.0398613518197574,0.0372670807453416
"lubbock county",45600,648,30.7,49078,298042,2020-03-20,33.3309927859413,1.41507625277952,1.46574017196683,5.11470806908336,1.47648932110589,1.37859154052369,0.152998570671248,0.0142105263157895
"lynn county",571,18,38.1,44922,5785,2020-03-28,7.47126436781609,0,6.15867567469398,2.87891739597655,0.864521226523829,0.681660655659643,0.0987035436473639,0.031523642732049
"madison county",1162,21,35.2,44004,13979,2020-04-15,6.89655172413793,6.34074360738447,7.03982729049459,7.58885313555471,0.126199192645294,0.153570258421091,0.0831246870305458,0.0180722891566265
"marion county",401,20,49.8,36938,10140,2020-04-16,7.05233463854153,0.81181917211329,4.4509119389119,2.841242304634,0.286055931318303,0.242044460406636,0.0395463510848126,0.0498753117206983
"martin county",569,18,31.7,71115,5547,2020-03-27,3.44827586206896,1.66666666666667,3.64285714285714,5.79347034428928,1.8479949766694,0.320527000302989,0.102577970073914,0.031634446397188
"mason county",340,4,48.9,40949,4122,2020-04-04,22.5615763546798,0.99410943496965,0.205176767676768,0.551651879825254,2.08386475815959,0.179628294480494,0.0824842309558467,0.0117647058823529
"matagorda county",2602,72,37.2,44896,36744,2020-03-15,18.9738373453613,0.942810304089179,0.732633472196491,5.3799139625354,2.60145890335626,0.772042765671345,0.0708142826039626,0.0276710222905457
"maverick county",8320,223,29.6,37734,57471,2020-03-23,12.8585112205802,7.4140163577626,2.89579151962831,6.14924923149915,2.85259498493155,1.0926438378212,0.144768665935863,0.0268028846153846
"mcculloch county",467,12,43.5,42367,8145,2020-04-09,5.17241379310345,0,7.25420821009056,2.6401030021837,3.42774498189877,1.1053895745182,0.0573357888275015,0.0256959314775161
"mclennan county",21894,344,33.2,46262,245720,2020-03-19,31.9541087581805,0.82559646046179,2.06608922058738,10.0258122776102,1.91115451064858,0.999147529955879,0.0891014162461338,0.0157120672330319
"medina county",3253,62,38.8,59305,48548,2020-03-18,13.2207064965686,4.33614964056188,7.57901298451382,2.22227490037104,2.9289643949033,0.59067678492918,0.0670058498805306,0.0190593298493698
"midland county",13334,202,31.8,75815,159883,2020-03-21,17.1574193969629,3.90214454977768,2.68549803230312,5.88873021396632,2.809800343566,0.640045411892455,0.0833984851422603,0.0151492425378731
"milam county",1577,19,41.5,41768,24479,2020-03-25,8.61260387122456,2.66104302930816,2.45546173921721,5.31614237535079,1.50012415716234,0.632802136474527,0.0644225662813023,0.0120481927710843
"mills county",344,16,47.3,46318,4887,2020-05-19,0,10.5555555555556,4.6725168106747,1.90270955045102,1.50803581268474,1.63730539758484,0.070390832821772,0.0465116279069767
"mitchell county",535,21,34.6,52194,8774,2020-04-07,0,0,10.6481481481481,5.64326070734988,1.0015435831233,0.904310498242783,0.0609756097560976,0.0392523364485981
"montague county",1713,46,44,46592,19406,2020-03-27,9.31034482758621,1.4484126984127,2.38095238095238,3.2642593453868,3.19483138411578,1.44709786008722,0.0882716685561167,0.0268534734384121
"montgomery county",33006,326,36.7,74323,535187,2020-03-10,30.4629224935873,4.13256990409021,1.46734623864592,2.98394100165045,3.24319692838473,1.17796159295613,0.0616719015970119,0.00987699206204933
"moore county",2116,57,30.5,52469,22016,2020-03-30,32.9236216366778,2.25860191635344,1.61118329712956,0.323033478326155,0.42992610105533,0.164129946998297,0.0961119186046512,0.026937618147448
"morris county",672,15,42.9,40227,12530,2020-03-25,7.18390804597701,4.66538091538092,2.45298300921324,2.37851890810168,2.39873259388734,0.958670930191251,0.0536312849162011,0.0223214285714286
"nacogdoches county",3506,111,30.6,41482,65411,2020-03-26,21.2299712732366,2.77479836676899,1.03401542252712,2.87403259983158,1.48539892993274,0.627458667032867,0.0535995474767241,0.0316600114090131
"navarro county",4798,71,38.9,45103,48239,2020-03-27,17.0543271487799,1.5448667496006,4.44597991322719,5.08570433005186,1.46161222676835,0.687334697829894,0.0994630900308879,0.0147978324301792
"newton county",469,20,43.5,40180,14187,2020-04-01,3.44827586206896,4.16666666666667,3.33080808080808,8.38292727588705,2.43286413614604,0.354830994895592,0.0330584337774018,0.0426439232409382
"nolan county",1399,38,38.8,42019,14990,2020-04-24,3.44827586206896,7.44444444444444,7.72715395992141,0.897048522067367,1.26954306568213,1.97970802090059,0.0933288859239493,0.0271622587562545
